ulasan,kategori,clean
blanja jadi lebih gampang tapi sayang ongkirnya lumayan.,Positif,blanja jadi lebih gampang sayang ongkirnya lumayan
good,Positif,good
"kurir nya gasopan najis, malah marah' bilangnya gua pesen paket dari tgl 2, kocak gua mesen pas tgl 9, ngechat sambil marah katanya 'bikin gondok aja', gua apus shopee gua rating jelek, besok ganti kurir aja admin shopee, digituin kan gaenak, mana mau ngirim paket jam set11 malem, ga sopan, gue tau pesenan orang masi banyak, pake bilang paket gua di cancel aja, gilirian diiyain malah bilang 'bikin gondok aja', kocak rating buat lu 0/10",Negatif,kurir nya gasopan najis malah marah bilang gua sen paket tgl kocak gua mesen pas tgl ngechat marah kata bikin gondok aja gua apus shopee gua rating jelek besok ganti kurir aja admin shopee digituin kan gaenak mana mau ngirim paket jam set malem ga sopan gue tau sen orang mas banyak pake bilang paket gua cancel aja gilirian diiyain malah bilang bikin gondok aja kocak rating buat lu
Semua kebutuhan saya terbantu dengan aplikasi shopee,Positif,semua butuh bantu aplikasi shopee
mantap,Positif,mantap
joosss,Positif,joosss
Aplikasi ini sangat bagus dan memuaskan,Positif,aplikasi sangat bagus muas
"semakin lama shoope amburadul, penjualnya banyak menipu konsumennya, kalau di tanya ,baca dulu diskripsinya, no komplain",Negatif,makin lama shoope amburadul jual banyak tipu konsumen kalau tanya baca dulu skripsi no komplain
lebih murah,Positif,lebih murah
wowwww,Positif,wowwww
"Aplikasi sangat berguna, tapi saran saya ... kalo barang dah gak tersedia baik warna maupun coraknya..bisa diedit oleh penjual ...",Positif,aplikasi sangat guna saran kalo barang dah gak sedia baik warna maupun coraknyabisa edit jual
bagusss,Positif,bagusss
ok,Positif,
"semenjak TDK kerja sama dengan jnt,pake shopee express pengiriman lama,biasanya 3hr sekarang jadi 5hr baru datang.👎",Negatif,semenjak tdk kerja sama jntpake shopee express kirim lamabiasanya hr sekarang jadi hr baru datang
sangat membatu beraktifitas,Positif,sangat batu beraktifitas
sangat bagus,Positif,sangat bagus
tapi sayang saya gak bisa mendownload shopi,Positif,sayang gak mendownload shopi
Ok,Positif,
"saya suka aplikasi ini cuman saya pesan, paket tidak sampai di alamat saya,terus di kembali kan barangnya ke pembeli, ke napa akun COD saya di batalkan",Negatif,suka aplikasi cuman pesan paket alamat sayaterus kan barang beli napa akun cod batal
mantep,Positif,mantep
baik pertahankan,Positif,baik tahan
menarik,Positif,tarik
"terjadi kesalahan malah tiba tiba pesanan di keranjang malah hilang semua, udah susah susah nyari satu satu malah hilang semua",Negatif,jadi salah malah tiba tiba pesan keranjang malah hilang semua udah susah susah nyari satu satu malah hilang semua
bagus,Positif,bagus
"males sama yg sekarang, awal masuk langsung ke video yg suaranya mesti bikin kaget,, gak bisa di kasih pengaturan lagi kah biar pengguna sendiri yang milih opsi?",Positif,males sama yg sekarang awal masuk langsung video yg suara mesti bikin kaget gak kasih atur biar guna sendiri milih opsi
nice apk,Positif,nice apk
Al Nurdin,Positif,al nurdin
simple dan cepat,Positif,simple cepat
Aplikasinya error berapa kali klik ga kebuka pas kebuka aplikasinya macet. nyebelin,Negatif,aplikasi error berapa kali klik ga buka pas buka aplikasi macet nyebelin
shopee tetap di hati,Positif,shopee tetap hati
bagus,Positif,bagus
Suka enak belanja,Positif,suka enak belanja
"sudah ber tahun tahun pakai shopee yg dari dulu selalu di andalkan dan sudah bertahun tahun member platinum jg tapi sekarang ini malah akun terkena judge dengan adanya akun terindikasi pelanggaran yg padahal akun yg di pakai stardart aja pemakaian nya gak macem macem. tiap orderan selalu di cancel otomatis kalau pakai voucher tambahan, kalau di tanya salah nya di mana malah gak jawab CS nya,Aneh bin ajaib ini admin shopee nya",Negatif,ber tahun tahun pakai shopee yg dulu selalu andal tahun tahun member platinum jg sekarang malah akun kena judge ada akun indikasi langgar yg padahal akun yg pakai stardart aja pakai nya gak macem macem tiap order selalu cancel otomatis kalau pakai voucher tambah kalau tanya salah nya mana malah gak jawab cs nyaaneh bin ajaib admin shopee nya
"dituduh mlkukan hal tidak wajar trs, vocer jg vocer dr dia geje,kelanjutanya gimana sya kok di batalkan lagi ya, sy juga bayar ga ngutang pesen kok dibatalkan trs",Negatif,tuduh mlkukan wajar trs vocer jg vocer dr gejekelanjutanya gimana sya kok batal sy bayar ga ngutang sen kok batal trs
baguss,Positif,baguss
sangat membantu,Positif,sangat bantu
beli barang Harga 55rb sementara ongkir 85rb aneh shopinya,Negatif,beli barang harga rb ongkir rb aneh shopinya
aplikasi nya bagus dan bergna bgi kaum mger,Positif,aplikasi nya bagus bergna bgi kaum mger
"shopee makin lama makin malakin uang penjual dan affiliate nya alasannya juga gak jelas, kebanyakan ngeles",Negatif,shopee makin lama makin malakin uang jual affiliate nya alas gak jelas banyak ngeles
"aduhh gmn si setiap beli paket nyasar Mulu , padahal tu barang penting banget buat sekolah",Negatif,aduhh gmn si beli paket nyasar mulu padahal tu barang penting banget buat sekolah
mantap membantu,Positif,mantap bantu
good servis,Positif,good servis
sangat memuaskan,Positif,sangat muas
well,Negatif,well
memudahkan,Positif,mudah
Byk pilihan,Positif,byk pilih
gokil,Positif,gokil
kangen J&T,Positif,kangen jt
mempermudah dalam belanja,Positif,mudah belanja
"ga usah di downlod aplikasi bobrok,masa dari jakarta ke siantar 10 hari ga nyampe,ga jelas kali,hubungi cs yg jawab AI nya",Negatif,ga usah downlod aplikasi bobrokmasa jakarta siantar hari ga nyampega jelas kalihubungi cs yg jawab ai nya
sangattt bagusss,Positif,sangattt bagusss
sangat bermanfaat dan sangat membatu,Positif,sangat manfaat sangat batu
siiiiiif adanya apk shoope👍👍👍👍👍👍👍👍👍👍👍👍,Positif,siiiiiif ada apk shoope
Bagus sekali,Positif,bagus sekali
"tanya kak, kenapa ya 2hari ini tbtb shopee ku gak bisa dibuka ? selalu mental tiap di buka pdhl ada notif",Positif,tanya kak hari tbtb shopee ku gak buka selalu mental tiap buka pdhl notif
