userName,score,at,full_text,kategori,sentiment_label_raw,sentiment_score,sentiment
creatif Sanggarkarya,5,2025-05-11 17:20:14,makin top semoga makin amanah,Positif,positive,0.9967193007469177,Positif
Raeesa Maghfirah,5,2025-05-11 17:20:04,bagus 🏻 bagus 🏻 bagus 🏻 bagus 🏻 bagus 🏻,Positif,positive,0.9990383386611938,Positif
Tegar Yudha pratama,5,2025-05-11 17:19:38,kadang kadang,Positif,negative,0.7509933114051819,Negatif
Bambang Prayogo V2,5,2025-05-11 17:19:09,"terimakasih shopee sudah mempermudah ketika saya berbelanja,",Positif,positive,0.9705159664154053,Positif
Naylarahmamaulidya,5,2025-05-11 17:19:01,wow bagus sekalii,Positif,positive,0.9990764856338501,Positif
Kang Abay,5,2025-05-11 17:17:31,dulu suka dengan aplikasi tetangga si hijau. tapi kemari kemari nya shopee lebih jos terkait varians barang dan harga lebih kompetitif.,Positif,positive,0.9940084218978882,Positif
Dia Sulhan,5,2025-05-11 17:17:31,mntap,Positif,negative,0.863009512424469,Negatif
Krisna Arsenio14,5,2025-05-11 17:17:27,hsiehejidhebrjdjdbg itu gg ni nn hcgcgcfxgcgcg bbjvhhskej akan wolfram alasan alam aroma wolfram lebih aman kan jam kan iramtablo tau,Positif,positive,0.9934558272361755,Positif
ALESHA chanel,5,2025-05-11 17:16:50,"parah, lemot banget.. aplikasi terlemot yg ada di hp gue, padahal hp gue udeh canggih, kuota banyak.. emang aplikasinya yg lemot banget",Positif,negative,0.9994032382965088,Negatif
Dindaaa,1,2025-05-11 17:16:40,"gasuka bangettt, kalau masuk aplikasi sekarang langsung ke video/live... enakan yang dulu langsung ke beranda",Negatif,negative,0.9448035359382629,Negatif
Rahman Waly,5,2025-05-11 17:16:16,bagus,Positif,positive,0.9980973601341248,Positif
Yohana Angraeni Yohana,5,2025-05-11 17:16:06,kadang ngelet gk jls tapi enk bisa belanja apapun cinta,Positif,positive,0.9250203371047974,Positif
nunu bahtiar,4,2025-05-11 17:15:37,ok deh,Positif,negative,0.9964511394500732,Negatif
