userName,score,at,full_text,kategori,sentiment_label_raw,sentiment_score,sentiment
Muhammad Fahmi Azzikri,5,2025-05-11 18:22:06,god sangat mudah dlm berbelanja,Positif,positive,0.9984488487243652,Positif
MeidiantoSTAR,1,2025-05-11 18:18:24,pengiriman sering kesasar and melewati estimasi. ada kompensasi gak ni buat pembeli. adakan donk. bikin kecewa aja. komplen tambah waktu lagi tunggu hr. setelah hari ada hasil kaga ya?. sering kesasar tokopedia bikin malas. padahal alamat sangat jelas. komplen sy ditolak padahal belum terima pesanan. tgl nanti dipaksa ngakuin terima barang secara otomatis. tokopedia nih,Negatif,negative,0.9993243217468262,Negatif
Eko Prasetyo,5,2025-05-11 18:17:34,mudah untuk proses,Positif,positive,0.9930087327957153,Positif
Jaya Negara,1,2025-05-11 18:17:32,aplikasi shop mkin gak jelas,Negatif,negative,0.9993932247161865,Negatif
sound car audioworks,1,2025-05-11 18:14:25,tim cs tokopedia care di modus marah,Negatif,neutral,0.9984235763549805,Netral
Safwan Nhona,5,2025-05-11 18:12:01,bagus,Positif,positive,0.9980973601341248,Positif
Ben- G,2,2025-05-11 17:49:31,"mohon dilampirkan no telp bagian cs tokopedia agar kita dapat hubungi, karena tokopediacare tidak jelas, sudah berhari-hari tidak ada responnya ke chat penjual, terlebih keuntungan yang diperoleh tokopedia salah satunya adalah dari hasil penjualan pelapak yang berjualan di tokopedia, tetapi ketika ada masalah urgent tidak di respon.",Negatif,negative,0.9855000376701355,Negatif
Muhammad Zidan Hawari,1,2025-05-11 17:37:22,lag parah,Negatif,negative,0.9992075562477112,Negatif
minnatun meymey,1,2025-05-11 17:28:53,gak jls apk,Negatif,negative,0.9950622916221619,Negatif
Abdul Rohman,2,2025-05-11 17:18:17,"semenjak gabung dengan sebelah, promo kupon jadi menurun, performa aplikasi juga lemot yg dulunya ringan enak sat set sekarang malah lamban",Negatif,negative,0.9977237582206726,Negatif
Aciet Iskandar,1,2025-05-11 17:15:18,tidak ada alasan untuk pembatalan untuk seller yg tak kunjung mengirim barang,Negatif,negative,0.8034949898719788,Negatif
Rey Askar,4,2025-05-11 17:01:22,wokeh,Positif,negative,0.9974026083946228,Negatif
Japra Chanel,3,2025-05-11 16:56:19,"baru coba pake tokped biasanya pake yg sebelah,pengirimannya lama,couriernya malas,cuma telpon gak sampe kerumah,telpon gak ke angkat laporan di aplikasinya",Netral,negative,0.9984258413314819,Negatif
Songgakure,1,2025-05-11 16:28:02,"komplain barang kurang baru selesai di proses setelah bulan gila ya, lama kali tokopedia proses komplain padahal bukti dah jelas di video unboxing pas barang retur jumlahnya gak sesuai dan pembeli harus tanggung biayanya kena pajak juga gak diganti k biaya pajak harus ditanggung padahal di toko oren mana ada barang retur karena kesalahan penjual pembeli yang nanggung biaya ini itu gak memihak pembeli, padahal jelas jelas penjual yang salah pembeli yang nanggung akibatnya buruk buruk",Negatif,negative,0.9992724061012268,Negatif
oki andiyas,1,2025-05-11 16:27:06,"semenjak di update makin bingung mau isi pulsa bayar tagihan atau cek lain nya menu nya gak simple seperti sebelum nya makin susah makin ribet dalam pengoperasian nya tolong dong min perbaiki sprti menu dlu banyak menu memudahkan dalam pembelian/pembayaran tagihan,dll",Negatif,negative,0.9865326881408691,Negatif
Yudhistira Krisna,1,2025-05-11 16:22:21,"respon dari tim csf sangat lambat,",Negatif,negative,0.9982205033302307,Negatif
Sri Herykartini,5,2025-05-11 16:21:05,murah,Positif,positive,0.9976019263267517,Positif
Rafi Geming,1,2025-05-11 16:10:06,aplikasi paling jelek,Negatif,negative,0.9994082450866699,Negatif
Moh Soleh Mang oleh,5,2025-05-11 15:59:26,terimakasih sahabat ku semua,Positif,positive,0.9919650554656982,Positif
Setiadi Zainal,1,2025-05-11 15:51:55,masih gak jelas. minta update terus meski udh ditutup. gak semua org pake wifi woy,Negatif,negative,0.9962188601493835,Negatif
Dipra Kesuma,5,2025-05-11 15:45:11,apk merchant yang oke untuk saat ini,Positif,positive,0.9939927458763123,Positif
Banana Oren,5,2025-05-11 15:36:57,online shop terbaik di indonesia cuma tokopedia. itu aja titik,Positif,positive,0.8235331773757935,Positif
Zulfikar Rafif,5,2025-05-11 15:21:23,sangat membantu,Positif,positive,0.9959172606468201,Positif
Minzhi,1,2025-05-11 15:14:09,"balikin duit gw , yang kalian tahan! itu buat berobat! sampe anak gw mati, gw bikin viral ini semua.",Negatif,negative,0.9976370334625244,Negatif
Aigis Aegis,5,2025-05-11 15:07:11,belanja mudah.jadi resaler mudah,Positif,positive,0.9963907599449158,Positif
Nana Mulyana,5,2025-05-11 14:36:20,ini kenapa tampilan beranda nya hilang semua pasilitas top up dan yg lainnya,Positif,negative,0.9914219975471497,Negatif
Aji CIKONG_7295,1,2025-05-11 14:35:41,proses pengembalian barang terlalu ribet,Negatif,negative,0.9949619770050049,Negatif
dimas Firmanza,4,2025-05-11 14:19:39,baikk,Positif,positive,0.993024468421936,Positif
ando w,5,2025-05-11 13:51:45,refund lama,Positif,negative,0.9986108541488647,Negatif
Nick Abimanyu,5,2025-05-11 13:35:46,terimakasih tokopedia atas pelayanannya yang selama ini telah membantu saya dalam berusaha.,Positif,positive,0.9753869771957397,Positif
Arsyad Zzz,1,2025-05-11 13:32:49,aplikasi buruk mau beli pake kupon malah pembayaran dibatalkan oleh sistem,Negatif,negative,0.9989476799964905,Negatif
nabila Nadzif,5,2025-05-11 13:18:08,bagus,Positif,positive,0.9980973601341248,Positif
Gustaf Ratatoile,1,2025-05-11 13:17:19,"saya turunkan bintangnya, kalau ada bintang nol saya beri bintang nol aplikasinya lemot sekali, sudah mulai seperti aplikasi sebelah lemot",Negatif,negative,0.9990209341049194,Negatif
Surya Maryo,1,2025-05-11 12:46:23,"udan hari tokopediacare gak respon chat, ngajuin komplain serasa kek orang ngemis.. padahal barang retur udah sampe ke penjual, sampe sekarang saldo masih ketahanan dan gak ada respon sama sekali, kecewa",Negatif,negative,0.9987612962722778,Negatif
yogi pramono,4,2025-05-11 12:30:10,"membuka produk di aplikasi, kenapa jadi lelet/ lemot ya......?",Positif,negative,0.9966641068458557,Negatif
adzinur nugraha,2,2025-05-11 11:47:25,pada mahal ongkirnya,Negatif,negative,0.9990655779838562,Negatif
Muhammad Milhan,1,2025-05-11 11:39:20,gak bisa cod,Negatif,negative,0.9948850274085999,Negatif
Ilham Nazhril,5,2025-05-11 11:28:54,oke,Positif,positive,0.7234292030334473,Positif
Dani Mugi martin,1,2025-05-11 11:25:14,"sekarang tokopedia terakhir online penjual tidak bisa di lihat ,jadi susah bedain mana toko yang aktif dan tidak aktif .. sangat buruk",Negatif,negative,0.998995840549469,Negatif
Riski Hidayat Nasution,5,2025-05-11 11:20:14,ini kenapa jadi kek gini tampilan nya mau beli pulsa atau token listrik dmn coba?,Positif,negative,0.9672881364822388,Negatif
firlianaputri firli,1,2025-05-11 11:13:05,g bsa cod,Negatif,neutral,0.9624648690223694,Netral
erwin 390,1,2025-05-11 11:12:14,"setelah update lemottt banget bagus yg dulu aplikasi nya yg sekarang setelah hapus whitelist/ favorit barang balik lagi ke awal atas jadi pegel schroll keatasnya , chat dari seller tidak bisa dihapus jadi bala dan tidak ada notifikasi ke hp padahal sudah clear cache bahkan di install ulang masih sama tetap begitu, dan rekomendasi kurirnya pun tidak ada pilihan yang parahnya pickup telat terus sampai berhari, tolong di note ini ! sampai keatas agar pelanggan puas dan rating bisa naik",Negatif,negative,0.9989705085754395,Negatif
Adem Cengku,5,2025-05-11 11:04:16,aku orang cimemek di sekolah anda yang nomor telepon kode dan rasul-nya dan rasul-nya maka sungguhlah aku nikah sama dan rasul-nya maka hijrahnya kepada para pihak tidak mudah untuk mendapatkan penawaran dan tidak mudah bagi tahun berakhir untuk domain di kirim ke chrome ninja ingkang wonten inggih punika satunggaling ahli sejarah yang diberikan adalah beberapa tips untuk mendapatkan hasil foto kamera di sekolah dasar utawa sd umumé bisa vidiokol yang diberikan adalah beberapa tips berikut,Positif,positive,0.8506107330322266,Positif
Nandang Rochaendi,5,2025-05-11 10:58:47,bagus,Positif,positive,0.9980973601341248,Positif
Ilyas Kris,1,2025-05-11 10:53:27,admin nya lola,Negatif,negative,0.9992044568061829,Negatif
Orvin Juliand,1,2025-05-11 10:40:34,"pihak tokopedia tidak bertanggung jawab, fitur-fitur bermasalah menyusahkan merugikan pembeli dalam uang dan data pribadi",Negatif,negative,0.9974204301834106,Negatif
Santi,5,2025-05-11 10:22:48,dancok asu asu,Positif,positive,0.739753782749176,Positif
Mr Zul,5,2025-05-11 09:35:04,bagus bagus,Positif,positive,0.9963570237159729,Positif
Zhrotuu,3,2025-05-11 09:34:25,"mau daftar affiliate tapi gak bisa"", krn sistem nya eror gimana sihh",Netral,negative,0.9972591400146484,Negatif
Deky Zulkarnain,2,2025-05-11 09:10:05,"mosok disurh verifikasi lagi boss, kembali kan ke semula",Negatif,negative,0.6063409447669983,Negatif
Iis Sunarti,1,2025-05-11 09:07:28,belum pernah download apk ini tapi saldo dana saya melakukan transaksi ke toko pedia,Negatif,neutral,0.998437225818634,Netral
Abun,5,2025-05-11 08:43:31,bagus,Positif,positive,0.9980973601341248,Positif
Handoko Lau Pangestu,1,2025-05-11 08:38:14,"baru kaliini saya rating aplikasi buruk, saya chat cs tidak ada balasan sudah ikuti step untuk tanya cs juga memang dari cs nya tidak ada balasan, pesanan saya di tahan penjual (penipuan) tidak ada respon dari penjual harus menunggu cancel automatis dari aplikasi yang sangat lama sampai sekarang pun beli, dan cs tidak ada balasan sama sekali lepas tangan!",Negatif,negative,0.9992276430130005,Negatif
Handi Nuari (Nuariez),1,2025-05-11 08:33:56,"ini kenapa tampilan awal halaman jadi berubah? menu awal pada pindah kemana? banner promosi, menu gopay, menu pembayaran dll pada hilang gak bisa diakses...",Negatif,negative,0.9956018924713135,Negatif
Aga Damian,5,2025-05-11 08:30:05,oke tidak ribet,Positif,positive,0.9931961297988892,Positif
Dwi Agustawan (villa 77 jimbaran),1,2025-05-11 08:12:38,gak beres tokopedia ini. sy belanja dan di batalkan kirim oleh penjual. tpi saldo sy tertahan dari tgl april senilai jtan. dan sy gak bisa belanja jadinya. complain hanya di balas ai. tidak di hubungkan cust service. dan akhirnya smpai skrng uang blm kembali,Negatif,negative,0.9990301132202148,Negatif
Ipank Putra,3,2025-05-11 07:37:13,di sini mayan lengkap sih dari pada toko lainnya tapi yang gak aku suka adalah pengiriman lama pesan dari tanggal sampai tanggal blum sampai,Netral,negative,0.9752348065376282,Negatif
Zaman Aneh,5,2025-05-11 07:09:54,lengkap barangnya,Positif,positive,0.9990813732147217,Positif
Mr T,1,2025-05-11 06:47:08,"update terbaru membuat harga produk menjadi langsung harga setelah diskon dengan voucher tokped tanpa mencantumkan harga asli dari penjualnya dan menu voucher diskon gak bisa dihapus ya kali iphone juta dicoret jadi juta? ternyata diskonnya cuma rb dari tokped, wajarnya kan .. bikin ribet ngitung lagi",Negatif,negative,0.9900643229484558,Negatif
Budi Anthoni Franklyn Napitupulu,1,2025-05-11 05:49:12,lucu lucu lucu lucu lucu,Negatif,positive,0.9984754920005798,Positif
Edi,2,2025-05-11 05:45:28,"setelah checkout tdk bisa ganti metode pembayaran, harus batalkan dulu dan setelah batal, daftar keranjang kosong dan harus cari lagi.",Negatif,negative,0.8157435059547424,Negatif
Abdul Aziz Muslim,5,2025-05-11 04:27:21,proses cepat dan mudah,Positif,positive,0.9981446266174316,Positif
Iyus Wxb,5,2025-05-11 04:14:02,ok,Positif,negative,0.998392641544342,Negatif
Yefi nuraufa,5,2025-05-11 04:12:58,goodgoodgood,Positif,positive,0.9990758895874023,Positif
Globe Heart,5,2025-05-11 03:35:54,ok,Positif,negative,0.998392641544342,Negatif
Christof Justin Hutabarat,5,2025-05-11 03:23:58,sangat membantu,Positif,positive,0.9959172606468201,Positif
Lavenzo Lavenzo,5,2025-05-11 02:50:05,amanah,Positif,positive,0.981895923614502,Positif
Zaenal Arifin,4,2025-05-11 02:43:11,ok,Positif,negative,0.998392641544342,Negatif
kepin sola,1,2025-05-11 02:39:35,"sicepat lemot banget min, ganti ekspedisi aja",Negatif,negative,0.9992679953575134,Negatif
azam Mochammad,1,2025-05-11 02:29:54,"saya membatalkan pembelian yang sudah saya bayar ,saldo tidak kembali dan tidak ada tanggapan sama sekali dari costumer service",Negatif,negative,0.9930342435836792,Negatif
Nugroho Adi,4,2025-05-11 02:01:39,bagus,Positif,positive,0.9980973601341248,Positif
Dani,5,2025-05-11 01:55:24,sangat membantu,Positif,positive,0.9959172606468201,Positif
adeon 13,1,2025-05-11 01:36:33,"kurir rekomendasi lama parah, katanya system canggih, tapi malah di putar putar,, dari jakarta ke kota saya itu biasanya cuma sehari, sekarang dari jakarta ke kota saya masa butuh hari, tolol banget systemnya dan keterangannya juga kurang jelas, kalau terus seperti ini, saya malas pakai tokopedia lagi",Negatif,negative,0.9992592930793762,Negatif
Wanono aza,5,2025-05-11 00:57:31,elektronic,Positif,positive,0.9981228709220886,Positif
IPIK IPIK,1,2025-05-11 00:20:51,apk tolol penjual ngirim barang gak ada blm sampe udah komplain dll di jawab sama bot ampe dana di kirim ke penjual mikir dongo,Negatif,negative,0.9994558691978455,Negatif
PC Bodol,3,2025-05-11 00:13:24,gimana ngak bisa pilih kurir spesifikasi... pindah sebelah klo gitu,Netral,negative,0.9967114925384521,Negatif
Ipan Ipan,5,2025-05-11 00:07:56,transaksi mudah,Positif,positive,0.9982670545578003,Positif
Iwan Sibuyung,1,2025-05-11 00:07:03,"ini gimana ceritanya ya, ko saldo dana saya hilang ada transaksi ke tokopedia? sedangkan saya tidak pernah transaksi ke tokopedia,",Negatif,negative,0.6765592694282532,Negatif
Erna Wati,5,2025-05-11 00:00:20,mantaaf,Positif,positive,0.9859857559204102,Positif
Rai Official,5,2025-05-10 23:49:40,"sangat membantu,cuma sekarang aplikasinya jadi lemot",Positif,positive,0.9237457513809204,Positif
Selna Austin H,5,2025-05-10 23:46:56,"mana voucher diskon yang kau janjikan itu ha, peeeet tokpeettt",Positif,negative,0.9805163741111755,Negatif
Sündenjäger 0000,1,2025-05-10 23:14:50,banyak toko dengan produk ribuan hasil duplikasi tanpa sepengetahuan pemilik toko asli hal ini benar sangat merugikan,Negatif,negative,0.9988089799880981,Negatif
Yulianto Saputro,5,2025-05-10 23:08:58,ya oke lah,Positif,neutral,0.9849281907081604,Netral
Arif Rahmat,1,2025-05-10 22:55:55,pelayanan buruk sekali tidak ada kejelasan saya pesan barang tidak sampai disuruh menunggu untuk pengembalian dana sampai bulan lebih sampai sekarang pun tidak ada kejelasan,Negatif,negative,0.9994400143623352,Negatif
Suhandik Bojonogoro,5,2025-05-10 22:53:35,dengan toko pedia semua masalah dapat mudah mendapat solusi,Positif,positive,0.9849955439567566,Positif
Lukman Haqim,2,2025-05-10 22:53:32,potongan/voucher diskonnya pelit parah..,Negatif,negative,0.9973093271255493,Negatif
Adit Hermawan,4,2025-05-10 22:52:04,"saran kepada developer untuk tampilan awal lebih baik di balikan seperti sebelumnya dikarenakan untuk mencari seperti pembelian pulsa, gopay,gopaylater dan sebagainya kita sebagai pengguna kesulitan mencarinya. terima kasih",Positif,negative,0.44084590673446655,Netral
Eliana Faizal,1,2025-05-10 22:47:59,"makin kesini makin kurang berminat, dari tampilan menu akun, keranjang, dan transaksi berlangsung. tidak ada kupon diskon/cashback. lebih suka tampilan saat .",Negatif,negative,0.9879823327064514,Negatif
okky prasetya,2,2025-05-10 22:13:20,"setelah di update ui homenya makin aneh, mana menu pilihan pembayaran bpjs,token listrik, pulsanya. siapa sih yg ngide ilangin tampilannya. dikira biar fresh gt? kgakkkkkk! kembaliin ui lama aja",Negatif,negative,0.9945489764213562,Negatif
21.013 Donny Samudera,2,2025-05-10 22:04:19,"tolong dong tokped kalo cari partner kerja sama dengan kurir jangan asal asalan! liat nih masa partneran sama id express kurir nya maling paket barang saya,seolah olah sudah di foto dan barang tiba untung ada cctv di rumah.",Negatif,negative,0.9954690933227539,Negatif
Siti Mariam,5,2025-05-10 21:52:42,"mantap ,,, olshop yg rekomendasi",Positif,positive,0.9986708164215088,Positif
Dafit Ageng Setiawan,1,2025-05-10 21:52:14,"versi terbaru .. tampilan home nya jelek. cari menu pembayaran pln, pdam, & isi pulsa gak ada. kembalikan tampilan home yang dulu. parah designer ui nya",Negatif,negative,0.9987955093383789,Negatif
Alexandro Jr,5,2025-05-10 21:45:44,good,Positif,positive,0.9990602135658264,Positif
Agustin Ragil,5,2025-05-10 21:36:03,top,Positif,positive,0.9786686897277832,Positif
Gavin Pranata,1,2025-05-10 21:09:07,"csnya pada kemana sih, masa contact dari pagi ke malem gak ada respon. sedangkan pesenan ada yang bermasalah. pajak doang gede , tapi pelayanan cs busuk",Negatif,negative,0.9992522597312927,Negatif
Miky Tito,1,2025-05-10 21:08:01,aku kasih bintang satu ksrena kerjasama sama anteraja. kurir lelet kok dibuat kerjasama. sebenarnya orang juga bakal mau djbayar mahal kalo kualitas bagus. ini kurir lelet kok dipakai,Negatif,negative,0.9703577756881714,Negatif
Natasafira Putri Malika,1,2025-05-10 21:04:09,"anehh bgt paket dtg costumer lambat dkit balesnya lgsg dikembaliin paket nya, g bgt apk ini",Negatif,negative,0.9992477893829346,Negatif
Magico Cavin,1,2025-05-10 20:58:58,"semua prosesnya serba lambat, penarikan dana refund diproses xjam gajelas, kenapa harus pake foto ktp njir buat penarikan dana refund",Negatif,negative,0.9988995790481567,Negatif
Zz DlL,1,2025-05-10 20:49:44,"aplikasi buruk, jangan di instal. promo hanya tampilan jika checkout maka harga asli yg dibayar, rugi sudah top up jauh malah harga gak sesuai",Negatif,negative,0.9990019202232361,Negatif
Fenixx Queen,4,2025-05-10 20:49:22,"masalah di sama pemilihan metode pembayaran, selalu error",Positif,negative,0.9972721934318542,Negatif
Arifudin,1,2025-05-10 20:41:30,males banget mau batalin aja nunggu sana respon kalo ngga respon tunggu hari lagi padahal pengin beli sekarang biar datang cepet,Negatif,negative,0.9994200468063354,Negatif
yuana haryono75,5,2025-05-10 20:39:46,tokopedia emang membantu masyarat,Positif,positive,0.9991193413734436,Positif
Risky,1,2025-05-10 20:23:22,"voucher bonus, kenapa tidak bisa di pakai apa jangan jangan emang gabisa?. tolong penjelasan ny min kalau misal ini bug tolong perbaiki",Negatif,negative,0.9501895904541016,Negatif
Wowo Taqwa,1,2025-05-10 19:55:37,"mohon di koreksi, kenapa saya tidak dapat free ong sama sekali... aneh",Negatif,negative,0.9981037378311157,Negatif
Doni Prasetiyo,1,2025-05-10 19:49:19,"pilihan pembatalan harus menunggu respon penjual, sedangkan penjualnya tidak merespon. saldo kembali pun harus nunggu lama padahal mau buat co di toko yg lain.",Negatif,negative,0.9805914759635925,Negatif
Zainal Arif,2,2025-05-10 19:39:55,tampilannya kok jadi kayak gini?tampilan home dan pilihan menu nya mana semua ini?,Negatif,negative,0.9960407018661499,Negatif
angga putra kusuma,5,2025-05-10 19:39:29,good job,Positif,positive,0.9986006617546082,Positif
Aprilyanti,1,2025-05-10 19:37:42,"heran dengan sistem tokped ke seller tuh gimana si.. order barang sesama kota pontianak,udah bbrp kali seller tidak kirim barang ( kena bbrp kali dari seller yg berbeda) padahal notif diproses tapi barang tidak dikirim sampai kena batal otomatis.. jadi malas mau pesen lagi..",Negatif,negative,0.9992916584014893,Negatif
gue ernes,1,2025-05-10 19:37:05,"mau isi saldo toped ribet gak ky dishope, dan sisa pembayaran gak masuk saldo toped...",Negatif,negative,0.5875805020332336,Netral
Quenzi liee,5,2025-05-10 19:33:05,"tokopedia, gopay. love you cinta cinta cinta",Positif,positive,0.9940577745437622,Positif
DILAH CHANRIAL,1,2025-05-10 19:18:16,"saya pengguna lama tokopedia dari tahun , hingga sekarang ini! tapi, saya sudah tidak belanja lagi di tokopedia, karna gak seenak dulu! jujur, tokopedia untuk sekarang² sudah kehilangan identitasnya! kurangnya disiplin & konsisten, ciri identiknya memudar! yang saya liat², aturan² konyol selalu bermunculan! sebagai referensi, coba liat shopee? mereka disiplin & konsisten sampai sekarang ini, ciri khasnya tdk berubah, walaupun sedikit saja yang diubah & dikurangi! ayo perbaiki lebih baik",Negatif,negative,0.9907640218734741,Negatif
Alex Setiawan,3,2025-05-10 18:42:06,"semakin update sering banget ,semakin buruk tampilan dan systemnya, kalah sama toko sebelah",Netral,negative,0.9991025924682617,Negatif
Herry Cs,5,2025-05-10 18:36:35,ok,Positif,negative,0.998392641544342,Negatif
Agus Sudrajat,4,2025-05-10 18:34:07,kenapa ya sering crash..apakah hp saya?,Positif,negative,0.9940282106399536,Negatif
Aziz Dragneel,1,2025-05-10 18:33:05,aplikasi belanja online terburuk saat ini,Negatif,negative,0.989348292350769,Negatif
Trinand 123,1,2025-05-10 18:19:08,"kebanyakan aplikasi, kupon promo dan gratis ongkir sudah tidak ada. efek lebih terfokus ke tiktok shop? lama-lama uninstall deh",Negatif,negative,0.995369017124176,Negatif
slamet hari siswanto,5,2025-05-10 18:07:01,"cepat mudah gak ribet, semoga aman di dana",Positif,positive,0.9733961224555969,Positif
Mrs Tò,5,2025-05-10 18:02:36,tokopedia bagus,Positif,positive,0.9957990050315857,Positif
HN,1,2025-05-10 17:59:46,"beli baju di tokopedia , pas terima kaget ukurannya gede banget, pas dicek ternyata gak sesuai deskripsi, penjual salah dalam memberikan keterangan di detail size, akhirnya ajukan retur karena bajunya kebesaran, cuma lucunya masa pembeli yang musti tanggung sendiri ongkirnya ke penjual, padahal dalam hal ini jelas penjual yg salah dalam mencantumkan detail size di deskripsi produk, tapi giliran mau retur, masa pembeli yg dirugikan. mending belanja di shopee deh kapok gw sama tokped !",Negatif,negative,0.9981400966644287,Negatif
Andriana Lailiawati,1,2025-05-10 17:59:43,"aplikasinya jelek, kurang d kontrol, bnyak orng penipu yg brjualan d toped, shrusnya d kontrol",Negatif,negative,0.9979711174964905,Negatif
Rochima Nur Syahbani,1,2025-05-10 17:48:56,"penguriman lama bisa smpe seminggu, pdhl cuma beda kota aja",Negatif,negative,0.918107807636261,Negatif
Frenal Renal,1,2025-05-10 17:41:28,cs ny robot jadi gak jelas. di tanya apa jawab nya apa. guoblok,Negatif,negative,0.9994344115257263,Negatif
arieffianto wibowo,2,2025-05-10 17:40:55,kayaknya sudah waktunya pindah ke aplikasi lain ongkirnya sudah ngak masuk akal,Negatif,negative,0.9981562495231628,Negatif
Alun Samudra,2,2025-05-10 17:39:47,sementara pindah sop*** dulu...di sini ninja express gak komitmen kirim sesuai tenggat waktu tapi komplain diabaikan admin tokped,Negatif,negative,0.9990044236183167,Negatif
Nor Ifindi,3,2025-05-10 17:32:21,perbaiki pelayanan tokonya termasuk kurirnya,Netral,neutral,0.8741281032562256,Netral
Barat Asyekk,5,2025-05-10 17:24:55,"bagus belanja disni aman, amanah dan pastinya barang terjamin bagus",Positif,positive,0.9988358616828918,Positif
Su Harsono,1,2025-05-10 17:21:35,"pesanan di batalkan dengan alasan tidak memenuhi syarat dan ketentuan, namun saya bahkan tidak melanggar syarat dan ketentuan tapi tetap saja pesanan tidak bisa di proses",Negatif,negative,0.9935821890830994,Negatif
Raisya Gultom,5,2025-05-10 17:13:58,sejauh ini masih oke thanks yaa,Positif,positive,0.911888062953949,Positif
Ben Redmi,5,2025-05-10 17:07:56,selain buat toko tambahkan review untuk ekspedisi nya juga,Positif,neutral,0.9944391250610352,Netral
Mulia HasibuanSiak,5,2025-05-10 17:03:42,layanan terpercaya,Positif,positive,0.9986169338226318,Positif
Iqbal Syauqie,5,2025-05-10 16:47:45,gak ada ongkir bagus,Positif,negative,0.9893887639045715,Negatif
sapto abdullah,5,2025-05-10 16:38:35,"sangat sesuai dan memuaskan, terimakasih",Positif,positive,0.9964041709899902,Positif
Dicson Girsang,1,2025-05-10 16:34:11,gak suka aja...,Negatif,negative,0.9994004964828491,Negatif
Ananda umay,4,2025-05-10 16:07:32,"terlalu mahal biaya layananan , d alfa",Positif,negative,0.9980575442314148,Negatif
Ali,4,2025-05-10 16:07:00,tingkatkan kualitas pelayanan dan informasi kepada konsumen,Positif,positive,0.8709062337875366,Positif
Lilis Prihartini,1,2025-05-10 16:05:01,banyak bet iklannya anj,Negatif,positive,0.9485715627670288,Positif
Aldona Panca,1,2025-05-10 15:17:13,gilaaa respon dari tokopediacare lama banget. hampir hari ga ada respon. beda banget kaya aplikasi sebelah,Negatif,negative,0.9991804957389832,Negatif
winda hanifah,1,2025-05-10 15:04:00,"gw pesen barang dari tgl sampe skrg gag sampe, tumbenan nih biasanya besokannya sampe, gw liat pertama estimasi tgl donk sampe nya selama itu, tgl barang udah dibawa kurir tapi ternyata gw cek malemnya barang di balikin lagi dan akan di kirim ulang tapi sampe skrg status gag update dan barang gw gag di kirim juga dan gw cek lagi hari ini masa estimasi nya di perpanjang sampe tgl , yg bener aja bos.. gw harus nunggu selama itu bos.. gw beli karena butuh bos bukan dikasih delay lama.",Negatif,negative,0.9972242116928101,Negatif
Adi Nur,4,2025-05-10 15:00:28,knp saya tidak bisa daftar tokopediacard,Positif,neutral,0.9983678460121155,Netral
Bintang Narisky,5,2025-05-10 14:40:03,bagus,Positif,positive,0.9980973601341248,Positif
dharma UD TRUCKS,2,2025-05-10 13:51:02,saya sepakat dengan deskripsi sebelum saya bahwa expeditur itu juga sebuah sumber masalah ... walaupun seakan akan ada diskon ongkir atau free sekalipun ... tetapi bila barang yang dibeli itu hanya muter muter disekitaran ... dan bahkan tokopedia menjembatani dengan tambahan waktu hari ... sungguh sangat disayangkan dan tidak belajar dari aplikasi lainnya yang sepi gegara hal yang sama ... harusnya anda berubah dan bisa bersikap ...,Negatif,negative,0.9980455636978149,Negatif
Robi Robi,5,2025-05-10 13:42:59,ok,Positif,negative,0.998392641544342,Negatif
Santika Devi,1,2025-05-10 13:26:06,"sangat sulit menghubungi cs tokopedia,penanganan masalah pada barang rijek yg mau di retur jelas kesalahannya seller,itu pun sangat lama untuk menunggu keputusan kaya gak ada adminnya",Negatif,negative,0.9987272620201111,Negatif
franky nataluna,5,2025-05-10 13:22:25,bintang bicara *keluhan dari pembeli/coustemer lebih di gercep *hotline no tlp/hp-wa untuk pengaduan dapat di tampilkan -pengaduan lewat cs / komputer tidak menolong thx,Positif,negative,0.6826619505882263,Negatif
Azlan Rizwan,5,2025-05-10 13:12:32,okkeey bagus,Positif,positive,0.9715576767921448,Positif
Rusdi Antang,5,2025-05-10 12:58:39,semoga tokopedia kedepannya semakin terbaik,Positif,positive,0.9953407049179077,Positif
