full_text,actual,predicted
juta lowongan kerja bagaimana kabarnya,Netral,Netral
menyala wapres ku bagus bagus bagus bagus bagus bagus bagus,Positif,Positif
iya pak iya ...😅,Positif,Positif
"pomo , muka ngeselin",Negatif,Negatif
kok dislike nya gabisa diliat sedih,Negatif,Negatif
angka pengangguran dan kemiskinan: owalah cik lucu lucu lucu,Netral,Positif
pak gibran kurang turu,Negatif,Negatif
"coba dikampus bedah ini dong pak wapres, diskusi sama mahasiswa",Netral,Netral
"semangat mas editorr, ditahan yak.... wkwkwkwk",Netral,Netral
"saya akan mengakui mas gibran sebagai wakil pesiden indonesia, kalau mas gibran berani diskusi terbuka di kampus kampus untuk membahas issue negara dan permasalahan global.",Netral,Netral
dongo lucu,Positif,Positif
meski wakil presiden beliau juga membantu kinerja bpk presiden prabowo,Positif,Positif
we wok de tok not only to detok,Negatif,Negatif
damn aku baru saja memakai menit ku untuk mengobati masalah insomnia,Netral,Netral
wokwokwok detok betok lucu lucu,Negatif,Negatif
mas gibran wapres termuda indonesia termuda tetap semangat semoga sukses,Netral,Netral
"buka, pause di detik ke , buka kolom komentar sepertinya lebih menarik hahahaha",Netral,Netral
ssbagai pemuda atau sebagai pejabat memberikan pendapatnya ... datar.. datar .. kita. .. kita... semua tanggung jawab kita.. bukan tanggungan mereka...,Negatif,Negatif
"malulah,",Negatif,Negatif
halah nyocot lucu,Positif,Positif
"udah fix, karena puncak bonus demografi maka pemimpinnya harus produk bonus demografi, gibran for ri 🙌🏻🙌🏻🙌🏻🙌🏻",Netral,Netral
buktiin aja mas. intinya tolong ciptakan bnyak lapangan kerja biar bonus demografi bukan malah mnjadi beban,Netral,Negatif
senang,Positif,Positif
"sangat karismatik pak gibran, mau komen buruk takut nanti saya jadi wakil pak gibran di lucu lucu lucu",Positif,Positif
mantappp wapres gibran..edukasi dan motivasi untuk generasi muda ❤,Netral,Netral
udah pak saya ngantuk !,Negatif,Negatif
keluarga muka tembok..awowkwowk..kgk ada rasa malu gila gila,Negatif,Negatif
fufafufa,Positif,Negatif
coba lihat tampang nya gibran. lucu,Positif,Positif
ngejelasi bonus demografi ❌ negjelasin ngalor ngidul ✅,Netral,Netral
"oke, camera, roll action. eng ing eng,, bisa aja saya lucu",Negatif,Negatif
