userName,score,at,full_text,kategori
Muhammad Fahmi Azzikri,5,2025-05-11 18:22:06,god sangat mudah dlm berbelanja,Positif
MeidiantoSTAR,1,2025-05-11 18:18:24,pengiriman sering kesasar and melewati estimasi. ada kompensasi ga ni buat pembeli. adakan donk. bikin kecewa aja. komplen tambah waktu lagi tunggu 3 hr. Setelah 3 hari ada hasil kaga ya?. sering kesasar tokopedia bikin malas. padahal alamat sangat jelas. komplen sy ditolak padahal belum terima pesanan. tgl 14 nanti dipaksa ngakuin terima barang secara otomatis. TOKOPEDIA NIH,Negatif
Eko Prasetyo,5,2025-05-11 18:17:34,mudah untuk proses,Positif
Jaya Negara,1,2025-05-11 18:17:32,APLIKASI SHOP MKIN GAK JELAS,Negatif
sound car audioworks,1,2025-05-11 18:14:25,Tim CS tokopedia care di 2025 modus😡,Negatif
Safwan Nhona,5,2025-05-11 18:12:01,bagus,Positif
Ben- G,2,2025-05-11 17:49:31,"Mohon dilampirkan No telp bagian CS Tokopedia agar kita dapat hubungi, karena tokopediaCare tidak jelas, sudah berhari-hari tidak ada responnya ke chat penjual, terlebih keuntungan yang diperoleh tokopedia salah satunya adalah dari hasil penjualan pelapak yang berjualan di tokopedia, tetapi ketika ada masalah urgent tidak di respon.",Negatif
Muhammad Zidan Hawari,1,2025-05-11 17:37:22,lag parah,Negatif
minnatun meymey,1,2025-05-11 17:28:53,gak jls apk,Negatif
Abdul Rohman,2,2025-05-11 17:18:17,"semenjak gabung dengan sebelah, promo kupon jadi menurun, performa aplikasi juga lemot yg dulunya ringan enak sat set sekarang malah lamban",Negatif
Aciet Iskandar,1,2025-05-11 17:15:18,tidak ada alasan untuk pembatalan untuk seller yg tak kunjung mengirim barang,Negatif
Rey Askar,4,2025-05-11 17:01:22,wokeh,Positif
Japra Chanel,3,2025-05-11 16:56:19,"baru coba pake tokped biasanya pake yg sebelah,pengirimannya lama,couriernya malas,cuma telpon ga sampe kerumah,telpon ga ke angkat laporan di aplikasinya",Netral
Songgakure,1,2025-05-11 16:28:02,"komplain barang kurang baru selesai di proses setelah 1 bulan gila ya, lama kali Tokopedia proses komplain padahal bukti dah jelas di video unboxing pas barang retur jumlahnya gak sesuai dan pembeli harus tanggung biayanya kena pajak juga gak diganti 57k biaya pajak harus ditanggung padahal di toko Oren mana ada barang retur karena kesalahan penjual pembeli yang nanggung biaya ini itu gak memihak pembeli, padahal jelas jelas penjual yang salah pembeli yang nanggung akibatnya 👎👎",Negatif
oki andiyas,1,2025-05-11 16:27:06,"Semenjak di update makin bingung mau isi pulsa bayar tagihan atau cek lain nya Menu nya gk simple seperti sebelum nya Makin susah makin ribet dalam pengoperasian nya Tolong dong min perbaiki sprti menu dlu Banyak menu memudahkan dalam pembelian/pembayaran tagihan,dll",Negatif
Yudhistira Krisna,1,2025-05-11 16:22:21,"respon dari tim CSF sangat lambat,",Negatif
Sri Herykartini,5,2025-05-11 16:21:05,murah,Positif
Rafi Geming,1,2025-05-11 16:10:06,aplikasi paling jelek,Negatif
Moh Soleh Mang oleh,5,2025-05-11 15:59:26,terimakasih sahabat ku semua,Positif
Setiadi Zainal,1,2025-05-11 15:51:55,Masih ga jelas. Minta update terus meski udh ditutup. ga semua org pake wifi woy,Negatif
Dipra Kesuma,5,2025-05-11 15:45:11,apk merchant yang oke untuk saat ini,Positif
Banana Oren,5,2025-05-11 15:36:57,online shop terbaik di indonesia cuma Tokopedia. itu aja titik,Positif
Zulfikar Rafif,5,2025-05-11 15:21:23,sangat membantu,Positif
Minzhi,1,2025-05-11 15:14:09,"BALIKIN DUIT GW 8,2 YANG KALIAN TAHAN! ITU BUAT BEROBAT! SAMPE ANAK GW MATI, GW BIKIN VIRAL INI SEMUA.",Negatif
Aigis Aegis,5,2025-05-11 15:07:11,belanja mudah.jadi resaler mudah,Positif
Nana Mulyana,5,2025-05-11 14:36:20,ini kenapa tampilan beranda nya hilang semua pasilitas top up dan yg lainnya,Positif
Aji CIKONG_7295,1,2025-05-11 14:35:41,proses pengembalian barang terlalu ribet,Negatif
dimas Firmanza,4,2025-05-11 14:19:39,baikk,Positif
ando w,5,2025-05-11 13:51:45,Refund lama,Positif
Nick Abimanyu,5,2025-05-11 13:35:46,Terimakasih Tokopedia atas pelayanannya yang selama ini telah membantu saya dalam berusaha.,Positif
Arsyad Zzz,1,2025-05-11 13:32:49,aplikasi ampas mau beli pake kupon malah pembayaran dibatalkan oleh sistem,Negatif
nabila Nadzif,5,2025-05-11 13:18:08,mantap,Positif
Gustaf Ratatoile,1,2025-05-11 13:17:19,"saya turunkan bintangnya, kalau ada bintang nol saya beri bintang nol aplikasinya lemot sekali, sudah mulai seperti aplikasi sebelah lemot",Negatif
Surya Maryo,1,2025-05-11 12:46:23,"udan 6 hari TokopediaCare gk respon chat, ngajuin komplain serasa kek orang ngemis.. padahal barang retur udah sampe ke penjual, sampe sekarang saldo masih ketahanan dan gk ada respon sama sekali, kecewa",Negatif
yogi pramono,4,2025-05-11 12:30:10,"membuka produk di aplikasi, kenapa jadi lelet/ lemot ya......???",Positif
adzinur nugraha,2,2025-05-11 11:47:25,pada mahal ongkirnya,Negatif
Muhammad Milhan,1,2025-05-11 11:39:20,gak bisa COD,Negatif
Ilham Nazhril,5,2025-05-11 11:28:54,oke,Positif
Dani Mugi martin,1,2025-05-11 11:25:14,"sekarang tokopedia terakhir online penjual tidak bisa di lihat ,jadi susah bedain mana toko yang aktif dan tidak aktif .. sangat buruk",Negatif
Riski Hidayat Nasution,5,2025-05-11 11:20:14,ini kenapa jadi kek gini tampilan nya mau beli pulsa atau token listrik dmn coba?,Positif
firlianaputri firli,1,2025-05-11 11:13:05,g bsa cod,Negatif
erwin 390,1,2025-05-11 11:12:14,"Setelah update lemottt banget bagus yg dulu aplikasi nya yg sekarang setelah hapus whitelist/ favorit barang balik lagi ke awal atas jadi pegel schroll keatasnya , chat dari seller tidak bisa dihapus jadi bala dan tidak ada notifikasi ke HP padahal sudah clear cache bahkan di install ulang masih sama tetap begitu, Dan rekomendasi kurirnya pun tidak ada pilihan yang parahnya pickup telat terus sampai berhari2, Tolong di NOTE ini !!!! sampai keatas agar Pelanggan Puas dan rating bisa naik",Negatif
Adem Cengku,5,2025-05-11 11:04:16,aku orang cimemek di sekolah anda yang nomor telepon kode dan rasul-nya dan rasul-nya maka sungguhlah aku nikah sama dan rasul-nya maka hijrahnya kepada para pihak tidak mudah untuk mendapatkan penawaran dan tidak mudah bagi tahun berakhir untuk domain di kirim ke Chrome ninja ingkang wonten inggih punika satunggaling ahli sejarah yang diberikan adalah beberapa tips untuk mendapatkan hasil foto kamera di sekolah dasar utawa SD umumé bisa vidiokol yang diberikan adalah beberapa tips berikut,Positif
Nandang Rochaendi,5,2025-05-11 10:58:47,mantap,Positif
Ilyas Kris,1,2025-05-11 10:53:27,admin nya lola,Negatif
Orvin Juliand,1,2025-05-11 10:40:34,"Pihak tokopedia tidak bertanggung jawab, fitur-fitur bermasalah menyusahkan merugikan pembeli dalam uang dan data pribadi",Negatif
Santi,5,2025-05-11 10:22:48,dancok asu ASU,Positif
Mr Zul,5,2025-05-11 09:35:04,mantap 👍,Positif
Zhrotuu,3,2025-05-11 09:34:25,"mau daftar affiliate tp gk bisa"", krn sistem nya eror gimana sihh",Netral
Deky Zulkarnain,2,2025-05-11 09:10:05,"mosok disurh verifikasi lagi Boss, kembali kan ke semula",Negatif
Iis Sunarti,1,2025-05-11 09:07:28,belum pernah download apk ini tapi saldo dana saya melakukan transaksi ke toko pedia,Negatif
Abun,5,2025-05-11 08:43:31,mantap,Positif
Handoko Lau Pangestu,1,2025-05-11 08:38:14,"baru kaliini saya rating aplikasi buruk, saya chat cs tidak ada balasan sudah ikuti step untuk tanya cs juga memang dari cs nya tidak ada balasan, pesanan saya di tahan penjual (penipuan) tidak ada respon dari penjual harus menunggu cancel automatis dari aplikasi yang sangat lama sampai sekarang pun beli, dan cs tidak ada balasan sama sekali lepas tangan!!!",Negatif
