full_text,kategori
Shopee terbaik gratis ongkir🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,Positif
pengiriman nya cepat sebelum estimasi sudah ke terima barang nya,Positif
"Akun dibekukan, saldo shopee masih banyak.. Tidak bisa ditarik, tidak bisa buat belanja. Hati2 jangan asal top up shopeepay, bisa2 uang diambil shopee,,,",Negatif
bagus banget,Positif
Terbaik..👍,Positif
estimasi waktu pesanan selalu sesuai,Positif
makasih,Positif
shopee keren,Positif
memuaskan cukup mbantu dan cepet responnx walau ad jg yg salah kirim produk,Positif
ok,Positif
SEDIAKAN NOMOR KURIR APA SUSAH NYA SIH. KALO BARANG GA NYAMPE TUH BINGUNG. CHOKI NGASIH SULUSI AJA ENGGAK. GAK MEMBANTU!!!!,Negatif
dengan adanya aplikasi shopee saya terbantu untuk membeli barang2 yg saya inginkan harganya juga lbh miring dr apk yg laen mksh...mbak shoppe...😘😘,Positif
masa aku uda cod cek dulu tapi kaga bisa kenapa ya?,Negatif
kasih tambahan metode pembayaran pakai e walet dong,Positif
bagus,Positif
oke terimakasih,Positif
nice,Positif
shopee edan,Negatif
saya bilang cara memperlambat jam pengiriman ke alamat eh malah gak nyabuk buruk banget shopee males aku kalau cekout lagi,Negatif
aq lebih nyaman belnja di sini sih drpda di krnjang pink😁🙏,Positif
top,Positif
bagus,Positif
lebih selektif toko yg tidak amanah,Positif
harga selisih sama aplikasi belanja yg lain banyak discount free ongkir nya..,Positif
"ga bisa kasih kata kata, yang penting bukti nyata",Positif
sangat puas,Positif
huhuiii dah..,Positif
"sangat membantu, dalam berbelanja ..",Positif
Seprti VOC memonopoli perdagangan,Negatif
"semenjak putus sama jnt bikin susah member dan pembeli . ekspedisi lain sda mahal ongkir, lama pula . ksian kami yg di ujung Kalimantan perbatasan malaysia",Negatif
mantap,Positif
"bagus banyak pilihan dari harga dan pengiriman nya jg,,sangat membantu",Positif
bagus bagus,Positif
jelek,Negatif
spx lambat,Positif
sangat enak belanja diaplikasi ini tinggal pencet² aja Tunggu paket datang udah deh..!! kalau aku sih metode pembayaran nya pake COD lebih enak😁.. terimakasi shopee....!!!🙏😀,Positif
shopee ok.. 👍👍,Positif
"bisa gak iklannya di ilangin gua udh download apk nya masih aja muncul iklan, tolong di hilangin iklannya",Negatif
aku. puas. belanja. di. Shopi. pruduk. murah. pekingannya. bagus. jadi. pecah. belah. gak. hancur. pokoknya. mantul,Positif
Shopee aplikasi ok...pelacakan progress pengiriman sangat mudah dan akurat,Positif
terbaik 👌,Positif
luar biasa,Positif
Apa ya tiap hari harus update?,Negatif
tepat waktu,Positif
makin gk jelas,Negatif
tolong cek akun aku min padahal aku udah lunasi utang nya kok masih 2/3 harusnya kan 3/3🫵😭,Negatif
bagus,Positif
bagus,Positif
"ini nge bug apa gimana, udah isi saldo kok ngga bisa digunakan ya, padahal saldonya sudah cukup untuk beli barang yang ingin di beli, padahal sebelum sebelumnya bisa digunakan",Negatif
"setelah update ko layar jadi bleng ya...sperti layar rusak jadinya...setelah di buka juga mala langsung ke video...seharusnya beranda dlu jgn langsung video..yg kluar live pakai beha lagi..smkn lama ga manfaat ni yg jualan dan konten seperti itu...di saring dululah konten jualanya,..bagaimana anak²yg buka..bukan utk beli barang mala yg nnton doang konten seperti itu",Negatif
🤟🥴🤟☝️😉☝️🤚😋✋,Positif
belanja di shopee sangat menyenangkan,Positif
👍👍,Positif
"tidak bisa update, mohon solusinya",Positif
bisa beli apapun lewat online tanpa harus keluar rumah.terimakasih untuk shoope,Positif
"pengiriman lama,warna orennya kurang bsgus",Negatif
tapmantap,Positif
belanja dishopee sangat memuaskan,Positif
ok,Positif
ok,Positif
bagus,Positif
aplikasi yang bagus,Positif
pengiriman udh ok,Positif
Shopee sangat membantu,Positif
sangat bagus,Positif
meskipun banyak marketplace lain saya tetep d shopee kl belanja..lebih nyaman...,Positif
"kami kurir shopee, tolong dong shopee jangan ada vendor, soalnya gaji saya telat mulu..",Negatif
nice online shop,Positif
"jasa kirim spx anjinglah, pesanan gak gerak, dan cs tidak bisa memberi bantuan",Negatif
aplikasi ini sangat bgss 👍🏻👍🏻,Positif
apk nya bagus bisa belanja apa saja yang aku mau aku sudah pesan apa apa barang nya aman terimakasih shopee,Positif
kenapa Shoope saya selalu ada keterangan aktifitas mencurigakan,Positif
shopee bagus sekali aplikasinya higenis dan sangat cepat,Positif
"Hummm, kerjaanmakin numpuk. gegera rating yg ga jls kgk bisa di hapus",Negatif
Mencoba,Positif
bisa jadi merupakan yang pertama adalah impian semua orang bisa melakukannya dalam kehidupan sehari-hari,Positif
baik,Positif
Alhamdulillah amanah....,Positif
Aplikasi Bagus Untuk Belanja🤩,Positif
jelek,Negatif
mantap,Positif
joz,Positif
saya sering belanja di Shopee tapi sering lupa ngasih ulasan ..maklum dh tua suka lupa beli di Shopee lumayan g pernah cacad pekayananya bagus👍🙏❤️,Positif
👌,Positif
tidak bisa mengatasi penjual licik,Negatif
"selama saya belanja DI SHOPEE dari mulai nominal dibawah 10 RB dan diatas 1 JT dan barang saya pesan semuanya sesuai yang saya pesan dan yang saya harapkan, semoga SHOPEE Jaya terus.",Positif
baik,Positif
bayar gaji kurir vendor persada #gajikurir,Negatif
amanah,Positif
apik,Positif
suka banget,Positif
Mudah mudahan tetap amanah ya shopee dan lebih baik lagi. Makasih,Positif
mempermudah semuanya,Positif
bagus banget,Positif
sangat puas belanja di shope barang datang sesuai,Positif
Apakah masih lemot² .... ?,Negatif
sangat bagus,Positif
baik,Positif
sangat membantu,Positif
"shopee tiada yg lain hanya shopee, shopee yg terbaik",Positif
