userName,score,at,full_text,kategori,sentiment_label_raw,sentiment_score,sentiment
Nurhidaya Nur,3,2025-04-26 05:26:03,aplikasi ini terkadang lemot untuk di buka dan bikin hp ku lemot juga jadi aku harus hapus dan download ulang terus menerus,Netral,2 stars,0.2790921926498413,Negatif
V I Z X R _ 414H,1,2025-04-25 22:18:59,gw uninstall sih ini aplikasi pokoknya karena pas gw buka situs web di chrome sering ke teleport ke tik tok di alihin ke toko online pokoknya gw udah muak sama nii aplikasi. 😡😡😡,Negatif,3 stars,0.3096400201320648,Netral
ROBiN 36,5,2025-04-25 15:40:30,Aplikasi ini Sangat Bagus dg membantu saya jadi saya taruh 🌟 5 👏👏👏👏👏,Positif,5 stars,0.6813226342201233,Positif
As Pohan,1,2025-04-25 09:30:03,gk bisa main,Negatif,4 stars,0.28097352385520935,Positif
Joni Goncalves,5,2025-04-25 06:16:49,Terbaik lah,Positif,5 stars,0.8849457502365112,Positif
Armada Tempur86,5,2025-04-24 23:32:12,lumayan,Positif,3 stars,0.33759939670562744,Netral
Upe Trenzy,5,2025-04-24 21:49:38,🇹🇱 Tentang aplikasi ini juga lumayan bagus,Positif,3 stars,0.3569275736808777,Netral
Bunda Zahra,5,2025-04-24 20:18:01,aplikasi ini knpa ya ko lemot klu dibuka nya padahal jaringan wifi penuh,Positif,1 star,0.36262524127960205,Negatif
Sofiya Hidayat,2,2025-04-24 20:03:04,ada yg kaya sy gakk sihh mau bayar paylater kok gak ditemukann golong donk yg pahamm bantu jawab...,Negatif,1 star,0.48903173208236694,Negatif
Siti Nafsiah,5,2025-04-24 13:51:59,Oke,Positif,3 stars,0.6211124658584595,Netral
Md Tamin,1,2025-04-24 13:32:33,TAIWW,Negatif,3 stars,0.24657036364078522,Netral
Ronaldinho Conceicao,5,2025-04-24 12:32:51,Ok,Positif,3 stars,0.49511438608169556,Netral
ezaquel Teixeira,5,2025-04-24 09:27:16,Tingkatkan fiturnya,Positif,4 stars,0.302642285823822,Positif
Roz Roz,5,2025-04-24 09:03:24,💪🏻💪🏻💪🏻💪🏻🤝🤝👍👍,Positif,5 stars,0.3085777759552002,Positif
romaldo pereira,5,2025-04-23 22:39:54,👍,Positif,5 stars,0.3085777759552002,Positif
Suari Komang,5,2025-04-23 16:09:33,sangat menhibur dan bs dpt temen dan wawasan baru,Positif,1 star,0.3131629526615143,Negatif
Lana Zahira,5,2025-04-23 01:41:16,aku jd banyak pengalamn sedudah memakai tik tok ini,Positif,5 stars,0.31749793887138367,Positif
Lauriana Dejesus,5,2025-04-22 21:25:16,Kenapa Aplikasi Tiktok tidak bisa install di hp saya??,Positif,1 star,0.44989967346191406,Negatif
Tiles Baucau,5,2025-04-22 19:53:33,Terbaik,Positif,5 stars,0.8169861435890198,Positif
Fiii Rafiii,1,2025-04-22 19:28:12,g bisa d buka,Negatif,3 stars,0.3056009113788605,Netral
Nurhida Halid,5,2025-04-22 15:23:56,"Banyak Ilmu mulai dari tentang Makanan, Kreasi,agama,dan info belanja,Barang dll",Positif,5 stars,0.43974539637565613,Positif
Felicidade Da Costa,3,2025-04-22 12:53:34,cukup bagus,Netral,3 stars,0.36049044132232666,Netral
Hendra Hendra,5,2025-04-22 08:46:03,ok,Positif,3 stars,0.49511438608169556,Netral
Jamilah Bin Yahya,5,2025-04-22 04:57:46,👍👍👍👍,Positif,5 stars,0.3085777759552002,Positif
Putri Sulung,5,2025-04-22 04:35:06,OK,Positif,3 stars,0.49511438608169556,Netral
Kim Taehyung,5,2025-04-21 21:51:59,sangat bagus dan seruhh,Positif,5 stars,0.5280606746673584,Positif
Noryan Lovly,5,2025-04-21 18:20:32,bagus,Positif,4 stars,0.25632038712501526,Positif
Aishy Chan,1,2025-04-21 14:47:24,Lemot,Negatif,3 stars,0.2589406967163086,Netral
Ciaiii D'silva,1,2025-04-21 10:55:28,jelekk bjrrr masa filter nya gak bisa di pake anjirr,Negatif,3 stars,0.26935911178588867,Netral
Marselino De araujo,5,2025-04-21 07:54:44,sangat bagus,Positif,5 stars,0.2907521724700928,Positif
Duaputri,5,2025-04-20 14:14:46,terimakasih sudah bantu,Positif,1 star,0.40925922989845276,Negatif
