userName,score,at,full_text,kategori
Nathania,5,2025-05-02 06:54:31,bagus ditingkatkan terus kakak,Positif
Muhamad Sukirno,5,2025-05-02 06:54:04,mantap,Positif
Gustiana Ramdan,5,2025-05-02 06:52:49,pelayanan cepat dan bagus,Positif
Masda Hayati,5,2025-05-02 06:52:04,😎👍,Positif
Wonosalam 123,5,2025-05-02 06:51:51,bagus,Positif
Ismail Marzuki,5,2025-05-02 06:50:45,membantu sekali,Positif
Rabin Inay,1,2025-05-02 06:50:34,"awal nya gw gak da masalah sama ni aplikasi,, sbb gak ada dana pengembalian, tpi begitu ada dana pengembalian dan gw mau masukin nomer rekening...dn u dpt konfirmasi no OTP, ampuuun bner udah beberapa minggu gak bisa bisa, udah hub CS shopee..tpi ya jawaban nya STD tergantung signal...,, padahal wifi gw termasuk cepet bnget krna gw ambil yg KBS nya lumayan tinggi, gw gak tau apa ini mmng trik mereka atau ya cra mreka mempersulit dana yg kita minta balik, entah lah...",Negatif
Saifudin 87,4,2025-05-02 06:47:32,shopee selalu tepat waktu,Positif
bale bamboo bens,5,2025-05-02 06:47:28,goood,Positif
Tekno Pratama,5,2025-05-02 06:44:42,oke👌,Positif
Anisa Safitri,4,2025-05-02 06:44:37,bagus,Positif
PRETY WAU,5,2025-05-02 06:44:20,sangat baik,Positif
Dery Kurniawan,4,2025-05-02 06:42:32,bagus,Positif
Emi,5,2025-05-02 06:40:20,baik,Positif
BRS• SaTyA,5,2025-05-02 06:39:28,good job,Positif
Yuwono,4,2025-05-02 06:38:58,Ok..,Positif
Naura Eliana,5,2025-05-02 06:38:17,bagusss,Positif
Aliando Syarif,5,2025-05-02 06:36:45,murah dan memuaskan,Positif
Bagoel Alfa rizi,5,2025-05-02 06:36:29,bagus,Positif
Ardi Zidat,4,2025-05-02 06:35:29,ditingkatkan agar lebih baik dari toko toko lainya,Positif
yuza rio,4,2025-05-02 06:31:20,"tolong video atau live jangan langsung auto play, suka bikin malu klo lg tmpt umum. ngeganggu",Positif
yuwan safri,2,2025-05-02 06:29:25,semalam saya melakukan pembelian pembayaran sudah berhasil tapi tidak ada pemrosesan terhadap barang yg dibeli,Negatif
Shasa Hafiz,5,2025-05-02 06:24:45,ini bagus banget kata aku karna shoppe ini bisa bantu orang belanja aku suka banget sama shopee ini,Positif
Rohmaiah R,5,2025-05-02 06:21:11,ok,Positif
Indra Herdiansyah,4,2025-05-02 06:20:43,pay pay gak bisa di aprove,Positif
Ramdani Nur Alisha,4,2025-05-02 06:20:05,"Aplikasi belanjanya bagus, semua ok. Tp sering banget update aplikasinya -_-",Positif
Ayu Ade,5,2025-05-02 06:14:04,"sangat membantu banget...gak butuh kluar rmh udh bisa belanja dr rumah...pokoknya toko"" nya harus amanah",Positif
Pengguna Google,5,2025-05-02 06:13:55,👍👍👍👍,Positif
Suba Inah,5,2025-05-02 06:13:42,Bagus sekali,Positif
Zeyn arkana,5,2025-05-02 06:13:27,sangat puas,Positif
Rizki agus Pratomo,5,2025-05-02 06:12:00,Top,Positif
Stifo Frans,5,2025-05-02 06:10:10,"saya pias belanja di shopee bisa di cek dan barang selalu sesuai dengan pesanan,saya sangat puas",Positif
Fatra wijiya,1,2025-05-02 06:08:13,"Berat sekali aplikasinya padahal device masih mumpuni, saya harap bisa seperti di app store iPhone, smooth, tanpa lag",Negatif
Arifna Yatmi,5,2025-05-02 06:06:54,sejauh ini belanja d shoppe puas.....cuma dr semua pengalaman belanja shoppe cuma 2 barang yg g sesuai deskripsi,Positif
Rusni Hartini,5,2025-05-02 06:05:44,baru coba....,Positif
Yanto Tzy,5,2025-05-02 06:04:07,kmaren pesen coper Philip aku kira ga BS berfungsi minta retur ternyata salah pasang mata pisau.... Alhamdulillah suka BRG jg awet,Positif
Siswanto Anto,5,2025-05-02 06:02:49,best of the best,Positif
Iwan Haryanto,3,2025-05-02 06:00:36,"udah makin lemot dan iklan live nya konek terus ,gangguan terus halamanya mau bayar cicilan udah jatuh tempo akhirnya kena denda gara² ga bisa buka halaman spaylater...jadi malas dah kredit² barang di onlineshop",Netral
Titan Alkhambali,5,2025-05-02 05:58:31,kerennn,Positif
Riski Andriani Lubis,5,2025-05-02 05:56:18,bagus bangettt....,Positif
Amar Gaspoool,3,2025-05-02 05:54:58,"update mulu,bug saat scrol video shortnya fiturnya hilang hilang",Netral
Reinold Manalu,1,2025-05-02 05:54:42,"KURIR DI KABUPATEN DAIRI SIDIKALANG SUMUT MACAM IYA KALI, NGIRIM PAKET JAM 11 MALAM. NGANTAR PAKET APA NGANTAR SABU?",Negatif
WILLY THOMAS,5,2025-05-02 05:54:40,Sangat² bagus,Positif
Yethie Bessie,5,2025-05-02 05:54:37,layanan bagus,Positif
Nabila Mtp,3,2025-05-02 05:52:28,"kenapa saat mau beli barang tidak bisa cod ,dan susah dipesan ☺️😌",Netral
Andrean Chanel,5,2025-05-02 05:47:03,tolong di perbaiki shopee lagi eror kayaknya masa mau bayar barang Ndak bisa katanya saldo Ndak cukup harus 50 k sedangkn saldoku lebih dari itu,Positif
Achmad Sudjana,5,2025-05-02 05:46:12,Bagus cepat dan tepat,Positif
Dista Arisna,3,2025-05-02 05:45:54,sering kesel pas buka apk malah langsung masuk ke live/video 😠,Netral
DAY,1,2025-05-02 05:43:04,anjir parah .30 April di update..tgl 2 udah suruh update lagi .lelet parahhh,Negatif
Fedorlin Friska Wattimena,2,2025-05-02 05:35:11,"min kenapa shopee ku eror sedang kualitas jaringan nya bagus , kemarin - kemarin Masi oke tapi sekarang eror di tambah lagi udh pesan barang dan udah bayar gak bisa buka shopee dan lacak barang yang aku pesan ini gimna ini tolong bantuan nya",Negatif
Din Aplez,5,2025-05-02 05:34:48,mantap,Positif
Royke Reinhart,5,2025-05-02 05:32:37,bagus cepet,Positif
JoQ Jo,5,2025-05-02 05:29:43,awesome,Positif
Ella Rusmala,5,2025-05-02 05:29:18,management shoping online bagus dan terus berprogres semakin baik.,Positif
Diaz Erlangga,5,2025-05-02 05:29:04,belanja nyaman gak ribet,Positif
tesa Sahputra,5,2025-05-02 05:25:09,sanggar baik,Positif
Tiara aa,5,2025-05-02 05:23:39,semuanya jadi muda,Positif
Hadi Xp,5,2025-05-02 05:23:29,sudah di terima dengan begitu cepat handuk sederhana baik pelayanannya,Positif
mexianus mansopu,5,2025-05-02 05:23:09,suda membantu dlam blnja kebutuhan sehari hari,Positif
Kayla,5,2025-05-02 05:21:16,"Bagus aplikasi nya,bisa beli beli",Positif
diyan fersaulia,5,2025-05-02 05:20:48,"spaylater tidak bisa dipakai untuk beli token dan pulsa pdahal juga tidak pernah telat byar selalu ontime, sudah diperbarui datanya juga..mohon dibantu ditindaklanjutin.. terimakasih",Positif
Aripin Pipin,5,2025-05-02 05:18:54,bintang lima *aman *baik *benar *sabar *jujur lima bintang ini mencakup segalanya,Positif
Dandi Permana,2,2025-05-02 05:17:50,buka Shopee sekarang langsung ke video terus coba ke pengaturan ga ada pengaturan nya kalo dipindah ke beranda utama bug suaranya ngikut,Negatif
