ulasan,kategori,clean
ok,Positif,
kebanyakan Syarat dan ketentuan bikin Ribet.,Positif,banyak syarat tentu bikin ribet
"kalau bukan belanja di shopee belum tentu saya mampu membeli nya , selalu ditipu orang-orang toko",Positif,kalau bukan belanja shopee mampu beli nya selalu tipu orangorang toko
"bisa gak kalo setiap buka aplikasi Shopee gk langsung ke shopee Live, berisik! & ganggu",Negatif,gak kalo buka aplikasi shopee gk langsung shopee live berisik ganggu
sangat membantu buat saya,Positif,sangat bantu buat
"Tidak murah, dibilang gak murah suruh tambahin bintang",Positif,murah bilang gak murah suruh tambahin bintang
"pelayanan bagus,tdk mengecewakan trm kasih shopee mempermudah belanja kami 🙏👍",Positif,layan bagustdk kecewa trm kasih shopee mudah belanja
baik,Positif,baik
aplikasi ini sangat bagus,Positif,aplikasi sangat bagus
"Respon cepat, pengiriman tepat",Positif,respon cepat kirim tepat
shoope mantep pollll,Positif,shoope mantep pollll
bagus,Positif,bagus
"SHOPEE SHOPEE UDA TAU PENGIRIMANNYA LELET, MALAH GA KERJA SAMA SAMA J&T PERBAIKI DULU ITU SISTEM PENGIRIMANNYA!!! LELET BENER TAMBAH PERSONIL",Negatif,shopee shopee uda tau kirim lelet malah ga kerja sama sama jt baik dulu sistem kirim lelet bener tambah personil
karena saya sifatnya belajar segala sesuatunya dari pertama kali aplikasinya selalu mengikuti sampai bener bener faham belanja online itu baiknya gimana dan dapet terima kasih shopee 🙏,Positif,sifat ajar segala sesuatu pertama kali aplikasi selalu ikut bener bener faham belanja online baik gimana dapet terima kasih shopee
aplikasi nya lemot banget makin kesini,Negatif,aplikasi nya lot banget makin kesini
paketnya dh sampai trimksh sesuay ekfetasi,Positif,paket dh trimksh sesuay ekfetasi
"selama pesan di shope barang yang datang selalu sesuai, 👍",Positif,lama pesan shope barang datang selalu sesuai
ya kalau bisa spinjam nya limit nya di tambahin dan payleter nya juga.sdh langganan belum di tambah limit nya.,Positif,kalau spinjam nya limit nya tambahin payleter nya jugasdh langgan tambah limit nya
"kasih bintang 4 dulu deh abis pengirimannya sering d tunda & tdk ada kabar,walopun akhirnya keterima jg brgnya",Positif,kasih bintang dulu deh abis kirim sering d tunda tdk kabarwalopun akhir terima jg brgnya
barang yg dtng slalu sesuai dengan harapan,Positif,barang yg dtng slalu sesuai harap
isdebes lah shopee,Positif,isdebes lah shopee
Aplikasi udah di download masih muncul iklan di paksa lagi,Negatif,aplikasi udah download muncul iklan paksa
shopee👍👍,Positif,shopee
good,Positif,good
